curated 1000 rows from 646 documents
level 0: 108 probes
    r.9.0.0: repl 0.979 class ind 0.142 n=864 tokens ['\n', '\n', '\n', ' ', ' ', '\n']
    r.9.0.1: repl 0.253 class rep 0.01 n=864 tokens ['\n', '\n', 'т', '\n\n', ';', '\n\n']
    r.9.0.2: repl 0.184 class newline 0.02 n=864 tokens ['No', ',', '().', '"],', ' Add', ':']
    r.9.0.3: repl 0.506 class newline 0.018 n=864 tokens ['/**', ' Case', '{{', 'export', 'Success', ' String']
  r.9.1: repl 0.991 class newline 0.343 n=5760 tokens ['\n', 'ION', '\n', ':', '##', 'com']
    r.9.1.0: repl 0.982 class newline 0.539 n=864 tokens ['1', '2', ':', '------', 'imedia', '97']
    r.9.1.1: repl 0.981 class newline 0.074 n=864 tokens ['%', '\n', '250', '7', '40', '\n']
    r.9.1.2: repl 0.957 class newline 0.001 n=864 tokens ['}', '{', '}', '}', '\n', '}']
    r.9.1.3: repl 0.996 class subword 0.004 n=864 tokens [':', 'ION', ':', 'Education', ':', ' Science']
  r.9.2: repl 0.925 class other 0.005 n=5760 tokens ['.', '------', '\n', '{', ' Case', ' unit']
    r.9.2.0: repl 0.951 class newline 0.055 n=864 tokens ['------', '------', '1', '\n', '/**', '/**']
    r.9.2.1: repl 0.609 class newline 0.126 n=864 tokens [')', '\n', ')', '}', '\n', ' adults']
    r.9.2.2: repl 0.459 class newline 0.155 n=864 tokens ['.', '};', '\n', '7', '}', ' ']
    r.9.2.3: repl 0.003 class newline 0.017 n=864 tokens ['/.', ' ', '\n', '�', ' ', '\n']
  r.9.3: repl 0.863 class subword 0.004 n=5760 tokens ['*', '{{', 'ital', 'TA', ')*', '.']
    r.9.3.0: repl 0.987 class ind 0.036 n=864 tokens ['7', '\n', '.', ' Science', '\n', '\n']
    r.9.3.1: repl 0.836 class ind 0.03 n=864 tokens ['/**', '------', '/**', 'H', '--------------', ' liver']
    r.9.3.2: repl 0.826 class newline 0.138 n=864 tokens ['}', '}', '}', ';', '\n', '\n']
    r.9.3.3: repl 0.826 class newline 0.039 n=864 tokens ['250', 'th', '\n', '7', '\n', 'th']
r.10: repl 0.257 class comma 0.002 n=38400 tokens ['>', 'v', ':', ' fare', ' 153', '{']
r.11: repl 0.334 class ind 0.004 n=38400 tokens [' stronger', ' star', ' a', ' of', ' from', 'd']
r.12: repl 0.325 class other 0.001 n=38400 tokens ['----------', 'False', '193', ' the', '--------------', '3']
r.13: repl 0.386 class rep 0.006 n=38400 tokens [' ', ' ', ' in', ' ', '*', ' ']
r.14: repl 0.787 class other 0.009 n=38400 tokens [' *', 'gu', 'AD', '7', ' Mary', '\n']
  r.14.0: repl 0.94 class newline 0.103 n=5760 tokens [' star', 'ative', '/**', 'ations', '33', ' {']
    r.14.0.0: repl 0.989 class newline 0.232 n=864 tokens ['Size', 'Height', 'V', ' Teen', '------', 'GS']
    r.14.0.1: repl 0.951 class newline 0.025 n=864 tokens ['\n', '�', '\n', ' in', '\n', '------']
    r.14.0.2: repl 0.703 class newline 0.064 n=864 tokens ['0', '.', 'v', 'Statistics', '.', '53']
    r.14.0.3: repl 0.617 class rep 0.007 n=864 tokens ['5', '231', '96', '7', '_', '.']
  r.14.1: repl 0.819 class newline 0.02 n=5760 tokens ['1', '18', '3', ' the', '2', ' VS']
  r.14.2: repl 0.795 class newline 0.167 n=5760 tokens ['\n', '\n', '1', '\n', '\n', '\n']
    r.14.2.0: repl 0.688 class newline 0.142 n=864 tokens ['th', 'th', '\n', '\n', '.', ' to']
    r.14.2.1: repl 0.692 class newline 0.189 n=864 tokens ['Tags', 'Tags', ':', 'Profile', 'Description', 'over']
    r.14.2.2: repl 0.932 class rep 0.014 n=864 tokens [':', ':', ' Letters', ':', ':', ':']
    r.14.2.3: repl 0.821 class name 0.005 n=864 tokens [':', '{', '));', 'Statistics', 'AD', ':']
  r.14.3: repl 0.958 class ind 0.028 n=5760 tokens ['aries', '.', '.', '98', 'Category', 'Admin']
    r.14.3.0: repl 0.991 class newline 0.14 n=864 tokens ['V', ':', 'Height', ':', 'Size', 'AD']
    r.14.3.1: repl 0.85 class ind 0.072 n=864 tokens ['%', '\n', ':', 'False', 'estate', ' {']
    r.14.3.2: repl 0.596 class subword 0.058 n=864 tokens ['\n', '\n', '\n', '\n', '\n', '\n']
    r.14.3.3: repl 0.349 class other 0.015 n=864 tokens ['\n', '231', '\n', '53', '3', '3']
r.15: repl 0.49 class sentend 0.002 n=38400 tokens ['%', '--------------', '2013', 'ings', '\n', '\n']
r.16: repl 0.737 class rep 0.003 n=38400 tokens ['9', ' Lewis', ' {', ' Reach', '}', '54']
  r.16.0: repl 0.99 class newline 0.082 n=5760 tokens ['{', '429', 'Methods', ' *', ' or', '/*']
    r.16.0.0: repl 0.994 class newline 0.168 n=864 tokens ['s', 's', 'B', ' for', 'Height', 'ography']
    r.16.0.1: repl 0.677 class newline 0.089 n=864 tokens ['B', '7', '9', '40', 'TS', ',']
    r.16.0.2: repl 0.813 class newline 0.005 n=864 tokens [' at', '\n', '\n', '\n', ' that', '7']
    r.16.0.3: repl 0.57 class subword 0.052 n=864 tokens [' {', '"', '12', '{', ' *', '13']
  r.16.1: repl 0.987 class newline 0.067 n=5760 tokens ['\n', '.', '\n', '\n', '\n', '\n']
    r.16.1.0: repl 0.978 class newline 0.061 n=864 tokens [' Discovery', 'cpp', 's', '91', ' Science', '{']
    r.16.1.1: repl 0.964 class newline 0.18 n=864 tokens [' Stranger', ' Case', 's', '\n', 'ography', '\n']
    r.16.1.2: repl 0.829 class newline 0.012 n=864 tokens ['3', '>', '\n', '\n', '\n', '\n']
    r.16.1.3: repl 0.616 class newline 0.012 n=864 tokens ['25', ' Split', '\n\n', '\n', '000000', '>']
  r.16.2: repl 0.992 class newline 0.039 n=5760 tokens ['-', ':', 'V', '3', '7', '/**']
  r.16.3: repl 0.835 class newline 0.031 n=5760 tokens ['7', "'", '231', '_', ' modify', '40']
    r.16.3.0: repl 0.981 class newline 0.064 n=864 tokens [' *', ' this', '\r', 'Height', '33', 'History']
    r.16.3.1: repl 0.811 class digit 0.001 n=864 tokens [' history', '\n', '\n', '\n', "'", '\n']
    r.16.3.2: repl 0.198 class other 0.007 n=864 tokens [' magnification', 's', '\n', '000000', '>', '3']
    r.16.3.3: repl 0.458 class newline 0.016 n=864 tokens ['25', '7', '30', 'rio', 'B', '{']
